Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-02-13,Garmin Connect calorie adjustment,Cardio,616.0,1,,,,12507,
2024-02-14,Garmin Connect calorie adjustment,Cardio,345.0,1,,,,9154,
2024-02-15,Garmin Connect calorie adjustment,Cardio,621.0,1,,,,5843,
2024-02-16,Garmin Connect calorie adjustment,Cardio,422.0,1,,,,12009,
2024-02-17,Garmin Connect calorie adjustment,Cardio,481.0,1,,,,10182,
2024-02-18,Garmin Connect calorie adjustment,Cardio,568.0,1,,,,18362,
2024-02-19,Garmin Connect calorie adjustment,Cardio,269.0,1,,,,9072,
2024-02-20,Garmin Connect calorie adjustment,Cardio,410.0,1,,,,6637,
2024-02-21,Garmin Connect calorie adjustment,Cardio,260.0,1,,,,6215,
2024-02-22,Garmin Connect calorie adjustment,Cardio,199.0,1,,,,4413,
2024-02-23,Garmin Connect calorie adjustment,Cardio,320.0,1,,,,7103,
2024-02-24,Garmin Connect calorie adjustment,Cardio,364.0,1,,,,8371,
2024-02-25,Garmin Connect calorie adjustment,Cardio,253.0,1,,,,6153,
2024-02-26,Garmin Connect calorie adjustment,Cardio,244.0,1,,,,5618,
